propinsi,kemitraan,umur,gender,sumber_benih,kud,kelompok
ACEH,0,21,1,1,0,0
ACEH,0,43,1,1,0,0
ACEH,0,35,1,1,0,0
ACEH,0,33,1,0,0,0
ACEH,0,40,1,0,0,0
ACEH,0,47,1,1,0,0
ACEH,0,69,1,1,0,0
ACEH,0,45,1,1,0,0
ACEH,0,35,1,1,0,0
ACEH,0,45,1,1,0,0
ACEH,0,25,1,1,0,0
ACEH,0,40,1,0,0,0
ACEH,0,28,1,1,0,0
ACEH,0,55,1,1,0,0
ACEH,0,51,1,1,0,1
ACEH,0,37,1,0,0,0
ACEH,0,25,1,1,0,0
ACEH,0,37,1,1,0,0
ACEH,0,39,1,1,0,0
ACEH,0,31,1,1,0,0
ACEH,0,28,1,1,0,0
ACEH,0,37,1,1,0,1
ACEH,0,43,1,0,0,0
ACEH,0,31,1,1,0,1
ACEH,0,49,1,1,0,0
ACEH,0,42,1,0,0,0
ACEH,0,60,1,0,0,0
ACEH,0,43,1,0,0,0
ACEH,0,50,2,0,0,0
ACEH,0,65,2,1,0,0
ACEH,0,55,1,0,0,0
ACEH,0,70,1,1,0,0
ACEH,0,30,1,1,0,0
ACEH,0,50,1,1,0,0
ACEH,0,45,2,1,0,0
ACEH,0,36,1,0,0,0
ACEH,0,36,1,1,0,0
ACEH,0,34,1,1,0,0
ACEH,0,33,1,1,0,0
ACEH,0,43,1,1,0,0
ACEH,0,30,1,1,0,0
ACEH,0,45,1,1,0,0
ACEH,0,37,1,1,0,0
ACEH,0,47,1,1,1,1
ACEH,0,55,1,1,1,1
ACEH,0,36,1,1,0,0
ACEH,0,38,1,1,0,0
ACEH,0,29,1,1,0,0
ACEH,0,49,1,1,0,0
ACEH,0,30,1,1,0,0
ACEH,0,51,1,1,0,0
ACEH,0,60,2,1,0,0
ACEH,0,60,1,1,0,0
ACEH,0,45,1,1,0,0
ACEH,0,66,1,1,0,0
ACEH,0,65,2,1,0,0
ACEH,0,34,1,1,0,0
ACEH,0,46,1,1,0,0
ACEH,0,31,1,1,0,0
ACEH,1,65,1,1,0,0
ACEH,0,74,1,1,0,0
ACEH,0,58,1,1,0,0
ACEH,0,50,1,1,0,0
ACEH,0,36,1,1,0,0
ACEH,0,25,1,1,0,0
ACEH,0,40,1,1,0,1
ACEH,0,35,1,1,0,1
ACEH,0,39,1,1,0,0
ACEH,0,40,1,1,0,1
ACEH,0,35,1,1,0,0
ACEH,0,30,1,1,0,1
ACEH,0,60,1,1,0,1
ACEH,0,29,1,1,0,1
ACEH,0,38,1,1,0,0
ACEH,0,60,1,1,0,1
ACEH,0,33,2,1,0,0
ACEH,0,50,1,1,0,0
ACEH,0,47,1,1,0,1
ACEH,0,43,1,1,0,0
ACEH,0,78,1,1,0,0
ACEH,0,33,1,1,0,0
ACEH,0,38,1,1,0,0
ACEH,0,72,1,1,0,0
ACEH,0,43,1,1,0,0
ACEH,0,42,1,1,0,1
ACEH,0,48,1,1,0,1
ACEH,0,40,1,1,0,0
ACEH,0,67,1,1,0,1
ACEH,0,67,1,1,0,1
ACEH,0,30,1,1,0,0
ACEH,0,49,1,1,0,0
ACEH,0,50,2,1,0,0
ACEH,0,50,1,1,0,0
ACEH,0,46,1,1,0,0
ACEH,0,54,1,1,0,0
ACEH,0,60,1,1,0,0
ACEH,0,65,1,1,0,0
ACEH,0,45,1,1,0,0
ACEH,0,56,2,1,0,0
ACEH,0,63,1,1,0,0
ACEH,0,45,1,1,0,0
ACEH,0,36,1,1,0,0
ACEH,0,35,2,1,0,0
ACEH,0,30,1,1,0,0
ACEH,0,32,1,1,0,0
ACEH,0,60,2,1,0,0
ACEH,0,57,1,1,0,0
ACEH,0,56,1,1,0,0
ACEH,0,30,1,1,0,0
ACEH,0,38,1,1,0,0
ACEH,0,53,2,1,0,0
ACEH,0,55,2,1,0,0
ACEH,0,44,1,1,0,0
ACEH,0,53,2,1,0,0
ACEH,0,29,2,1,0,0
ACEH,0,27,1,1,0,0
ACEH,0,37,2,1,0,0
ACEH,0,43,1,1,0,0
ACEH,0,53,1,1,0,0
ACEH,0,43,1,1,0,0
ACEH,0,43,1,1,0,0
ACEH,0,48,1,1,0,0
ACEH,0,64,1,1,0,0
ACEH,0,55,1,1,0,0
ACEH,0,38,1,1,0,0
ACEH,0,37,1,1,0,0
ACEH,0,45,1,1,0,0
ACEH,0,49,1,1,0,0
ACEH,0,49,1,1,0,0
ACEH,0,39,1,1,0,0
ACEH,0,40,1,1,0,0
ACEH,0,45,2,1,0,0
ACEH,0,47,1,1,0,0
ACEH,0,45,1,1,0,0
ACEH,0,40,1,1,0,0
ACEH,0,60,1,1,1,0
ACEH,0,46,1,1,0,0
ACEH,0,40,1,1,0,0
ACEH,0,62,2,1,0,0
ACEH,0,31,1,1,1,0
ACEH,0,35,1,1,0,0
ACEH,0,32,1,1,0,0
ACEH,0,29,1,1,0,0
ACEH,0,28,1,1,0,0
ACEH,0,39,1,1,0,0
ACEH,0,32,1,1,0,0
ACEH,0,39,1,1,0,0
ACEH,0,42,1,1,0,1
ACEH,0,39,1,1,0,0
ACEH,0,39,1,1,0,0
ACEH,0,44,1,1,0,0
ACEH,0,49,1,1,0,0
ACEH,0,41,1,1,0,0
ACEH,0,67,1,1,0,0
ACEH,0,26,1,1,0,0
ACEH,0,49,1,1,0,0
ACEH,0,44,1,1,0,0
ACEH,0,46,1,1,0,0
ACEH,0,46,1,1,0,0
ACEH,0,29,1,1,0,0
ACEH,0,34,1,1,0,0
ACEH,0,35,1,1,0,0
SUMATERA UTARA,0,34,1,1,0,0
SUMATERA UTARA,0,65,1,1,0,0
SUMATERA UTARA,0,53,1,1,0,0
SUMATERA UTARA,0,29,1,1,0,0
SUMATERA UTARA,0,60,2,1,0,0
SUMATERA UTARA,0,67,1,1,0,0
